dataset,subset,image,mse_std,niter_std,mse_sec,niter_sec,Δmse,Δniter
FORECAST,noisy,patch_01_x15500_y12000,7.676691344501463e-06,11,1.2805391533399347e-05,3,5.128700188897884e-06,-8
FORECAST,noisy,patch_02_x26500_y4500,1.1237356021619593e-05,12,2.0406045456531223e-05,3,9.16868943491163e-06,-9
